tamilword,englishword
நான்,I
அவரது,His
என்று,That
அவர்,He
இருந்தது,Was
ஐந்து,Five
உள்ளன,Are there
உடன்,By
அவை,They
இருக்கும்,Will be
மணிக்கு,Under
ஒரு,A
வேண்டும்,Should
இந்த,These
இருந்து,From
மூலம்,Source
சூடான,Hot
ஆனால்,But
என்ன,What
சில,Some
ஆகிறது,Is that
அது,That
நீங்கள்,You
அல்லது,Or
இருந்தது,Was
உள்ள,Existing
செய்ய,To do
மற்றும்,And
ஒரு,A
உள்ள,Existing
நாம்,We
முடியாது,Can not
வெளியே,Out
மற்ற,Other
இருந்தன,Were
இது,It
செய்,Do
தங்கள்,Of the
நேரம்,Time
என்றால்,So if
சாப்பிடுவேன்,Eating
எப்படி,How
என்றார்,said
ஒரு,A
ஒவ்வொரு,Each
சொல்ல,To say
இல்லை,Not
தொகுப்பு,Set
மூன்று,Three
வேண்டும்,Should
காற்று,Air
அதே,Same
"மேலும்,","Further,"
விளையாட,To play
சிறு,Minor
இறுதியில்,At the end
வைத்து,Kept
வீட்டில்,At home
படிக்க,To study
கையில்,Hand
துறைமுக,Port
பெரிய,Great
எழுத்துப்பிழை,Spell
சேர்க்க,Add
கூட,Too
நில,Land
இங்கே,Here
வேண்டும்,Should
பெரிய,Great
உயர்,Rise
போன்ற,Similar
பின்பற்றவும்,Follow
செயல்,Action
ஏன்,Why
கேட்க,Ask
ஆண்கள்,Men
மாற்றம்,Change
சென்றார்,Moved
ஒளி,Light
வகையான,Sarcasm
ஆஃப்,Off
வேண்டும்,Should
வீட்டில்,At home
படம்,Picture
முயற்சி,Attempt
அமெரிக்க,US
மீண்டும்,Again
விலங்கு,Animal
புள்ளி,Point
அம்மா,Mom
உலக,World
அருகில்,Near
கட்ட,Phase
சுய,Self
பூமியில்,By
தந்தை,Father
எந்த,Which
புதிய,New
பணி,Work
பகுதி,Part
எடுத்து,Take
கிடைக்கும்,Available
இடத்தில்,In
செய்து,Do
வாழ,Live
எங்கே,Where
பின்னர்,After
மீண்டும்,Again
சிறிய,Small
மட்டும்,Only
சுற்று,Round
மனிதன்,Man
ஆண்டு,Year
வந்தது,Arrived
நிகழ்ச்சி,Event
ஒவ்வொரு,Each
நல்ல,Good
எனக்கு,Me
கொடுக்க,Give
எங்கள்,Our
கீழ்,Under
பெயர்,Name
மிகவும்,Highly
மூலம்,Source
